Qty,Line Item,Manufacturer,MfrId,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 100) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
2,C1005X5R0J106M050BC,TDK,C1005X5R0J106M050BC,https://octopart.com/c1005x5r0j106m050bc-tdk-26013203,"C21, C22",_0402MP,Ceramic Capacitors,200,C1005X5R0J106M050BC**MUL,445-8920-1-ND,C1005X5R0J106M050BC,,Cut Tape,,0.2461,0.2903,0.255,9530,837857,182051,1,1,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fc1005x5r0j106m050bc%2Ftdk&country=US&ak=68b25f31&sig=059c7ce&sid=1106&ppid=26013203&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d7e789&sid=459&ppid=26013203&vpid=63971686&ct=offers,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3Ddfay7wIA1uGElH4QevDHHw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DC1005X5R0J106M050BC%26utm_term%3DC1005X5R0J106M050BC%26utm_content%3DTDK&country=US&ak=68b25f31&sig=0e6b9ae&sid=2401&ppid=26013203&ct=offers,Arrow,C1005X5R0J106M050BC**MUL,,0.2461,0.4922,49.22,9530,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fc1005x5r0j106m050bc%2Ftdk&country=US&ak=68b25f31&sig=059c7ce&sid=1106&ppid=26013203&ct=offers,
1,LQM18FN100M00D,Murata,LQM18FN100M00D,https://octopart.com/lqm18fn100m00d-murata-387572,L6,_0603MP,Inductors,100,LQM18FN100M00D**MULT1,490-4025-1-ND,LQM18FN100M00D,Cut Tape,Cut Tape,,0.0763,0.0893,0.089,2934,167105,58088,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=059110c&sid=1106&ppid=387572&vpid=37459249&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e2d062&sid=459&ppid=387572&vpid=1864289&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f37a6b&sid=2401&ppid=387572&vpid=38925607&ct=offers,Arrow,LQM18FN100M00D**MULT1,Cut Tape,0.0763,0.0763,7.63,2934,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=059110c&sid=1106&ppid=387572&vpid=37459249&ct=offers,
1,TSX-3225 16.0000MF09Z-AC0,Epson,TSX-3225 16.0000MF09Z-AC0,https://octopart.com/tsx-3225+16.0000mf09z-ac0-epson-12822835,XOSCRF,TSX-3225,,100,TSX3225160000MF09ZAC0**M,SER4069CT-ND,,,Cut Tape,,0.3515,0.374,,1411,63671,,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08f9bd7&sid=1106&ppid=12822835&vpid=263952624&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=052d197&sid=459&ppid=12822835&vpid=220846925&ct=offers,,Arrow,TSX3225160000MF09ZAC0**M,,0.3515,0.3515,35.15,1411,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08f9bd7&sid=1106&ppid=12822835&vpid=263952624&ct=offers,
2,CRCW02012K20JNED,Vishay Dale,CRCW02012K20JNED,https://octopart.com/crcw02012k20jned-vishay+dale-39814262,"R8, R9",PART,,200,,541-2.2KAGCT-ND,CRCW02012K20JNED,,Cut Tape,,,0.0286,0.028,,4984,29088,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a1d3e0&sid=459&ppid=39814262&vpid=115139694&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f3f8e8&sid=2401&ppid=39814262&vpid=121772365&ct=offers,Mouser,CRCW02012K20JNED,,0.028,0.056,5.6,29088,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f3f8e8&sid=2401&ppid=39814262&vpid=121772365&ct=offers,
2,C1005X5R1A225K050BC,TDK,C1005X5R1A225K050BC,https://octopart.com/c1005x5r1a225k050bc-tdk-25947534,"C5, C6",_0402MP,Ceramic Capacitors,200,,445-7392-1-ND,C1005X5R1A225K050BC,,Cut Tape,,,0.1518,0.112,,310107,0,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05c683c&sid=459&ppid=25947534&vpid=63971749&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=09a9506&sid=2401&ppid=25947534&vpid=66163921&ct=offers,Mouser,C1005X5R1A225K050BC,,0.112,0.224,22.4,0,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=09a9506&sid=2401&ppid=25947534&vpid=66163921&ct=offers,
5,GRM0335C1E220JA01D,Murata,GRM0335C1E220JA01D,https://octopart.com/grm0335c1e220ja01d-murata-22235265,"C12, C18, C19, C20, C23",PART,,500,GRM0335C1E220JA01D**MULT,490-1253-1-ND,GRM0335C1E220JA01D,,Cut Tape,,0.0063,0.004,0.006,9626,315391,135788,1,1,,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fgrm0335c1e220ja01d%2Fmurata-manufacturing&country=US&ak=68b25f31&sig=07e71d1&sid=1106&ppid=22235265&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=06bfa37&sid=459&ppid=22235265&vpid=77975357&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=046659f&sid=2401&ppid=22235265&vpid=83824933&ct=offers,Digi-Key,490-1253-1-ND,Cut Tape,0.004,0.02,2,315391,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=06bfa37&sid=459&ppid=22235265&vpid=77975357&ct=offers,
5,CRCW0201330RJNED,Vishay Dale,CRCW0201330RJNED,https://octopart.com/crcw0201330rjned-vishay+dale-39985898,"R1, R4, R5, R6, R7",PART,,500,,541-330AGCT-ND,CRCW0201330RJNED,,Cut Tape,,,0.0286,0.028,,18173,12597,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b2f16d&sid=459&ppid=39985898&vpid=119626844&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=058ace8&sid=2401&ppid=39985898&vpid=165594323&ct=offers,Mouser,CRCW0201330RJNED,,0.028,0.14,14,12597,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=058ace8&sid=2401&ppid=39985898&vpid=165594323&ct=offers,
2,C0603C0G1E090B030BG,TDK,C0603C0G1E090B030BG,https://octopart.com/c0603c0g1e090b030bg-tdk-26012936,"C14, C15",PART,,200,,445-5562-1-ND,,,Cut Tape,,,0.1442,,,22259,,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0423564&sid=459&ppid=26012936&vpid=63970759&ct=offers,,Digi-Key,445-5562-1-ND,Cut Tape,0.1442,0.2884,28.84,22259,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0423564&sid=459&ppid=26012936&vpid=63970759&ct=offers,
1,RC0402FR-07330RL,Yageo,RC0402FR-07330RL,https://octopart.com/rc0402fr-07330rl-yageo-41203020,R3,_0402,Resistors,100,RC0402FR-07330RL**MULT1,311-330LRCT-ND,RC0402FR-07330RL,Cut Tape,Cut Tape,,0.0049,0.0056,0.003,15967,0,246026,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0745a4f&sid=1106&ppid=41203020&vpid=421152933&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00d8ea7&sid=459&ppid=41203020&vpid=114982573&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00c00cf&sid=2401&ppid=41203020&vpid=115001584&ct=offers,Mouser,RC0402FR-07330RL,,0.003,0.003,0.3,246026,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00c00cf&sid=2401&ppid=41203020&vpid=115001584&ct=offers,
1,AS222-92LF,Skyworks Solutions,AS222-92LF,https://octopart.com/as222-92lf-skyworks+solutions-3998133,ASWITCH,AS222-92LF,,100,,863-1240-1-ND,AS222-92LF,,Cut Tape,,,0.6369,0.603,,48798,11996,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f46db4&sid=459&ppid=3998133&vpid=34218422&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05d2630&sid=2401&ppid=3998133&vpid=165544418&ct=offers,Mouser,AS222-92LF,,0.603,0.603,60.3,11996,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05d2630&sid=2401&ppid=3998133&vpid=165544418&ct=offers,
1,ATSAMR21E18A-MFT,Microchip,ATSAMR21E18A-MFT,https://octopart.com/atsamr21e18a-mft-microchip-51082334,IC,QFN32,This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A,100,,1611-ATSAMR21E18A-MFTCT-ND,,,Cut Tape,,,4.73,,,0,,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05c5bfe&sid=459&ppid=51082334&vpid=419155918&ct=offers,,Digi-Key,1611-ATSAMR21E18A-MFTCT-ND,Cut Tape,4.73,4.73,473,0,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05c5bfe&sid=459&ppid=51082334&vpid=419155918&ct=offers,
1,2450BM15A0015E,Johanson,2450BM15A0015E,https://octopart.com/2450bm15a0015e-johanson-28515455,BALUN,0805_BALUN,,100,,712-1576-1-ND,2450BM15A0015E,,Cut Tape,,,0.6753,0.692,,109533,13421,,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=076f14f&sid=459&ppid=28515455&vpid=112795690&ct=offers,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DyCnrNFeXz%25252bh0D0HaD1nsOw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3D2450BM15A0015E%26utm_term%3D2450BM15A0015E%26utm_content%3DJohanson+Technology&country=US&ak=68b25f31&sig=0f44ea0&sid=2401&ppid=28515455&ct=offers,Digi-Key,712-1576-1-ND,Cut Tape,0.6753,0.6753,67.53,109533,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=076f14f&sid=459&ppid=28515455&vpid=112795690&ct=offers,
1,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,Osram Opto,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,https://octopart.com/lrtbr48g-p9q7-1%2Br7s5-26%2Bn5p-68-zb-osram+opto-71774791,RGBLED,LRTB_R48G,,100,,,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,,,,,,0.222,,,64163,,,,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05ed76f&sid=2401&ppid=71774791&vpid=255811387&ct=offers,Mouser,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,,0.222,0.222,22.2,64163,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05ed76f&sid=2401&ppid=71774791&vpid=255811387&ct=offers,
1,MCP1700T-3302E/TT,Microchip,MCP1700T-3302E/TT,https://octopart.com/mcp1700t-3302e%2Ftt-microchip-535742,LDO_VREG,MCP1700T-3302E/TT,"Microchip LDO ""MCP1700"""" in a 3-Pin SOT-23 package.""",100,MCP1700T-3302E/TT**MULT1,MCP1700T3302ETTCT-ND,MCP1700T-3302E/TT,Cut Tape,Cut Tape,,0.3358,0.294,0.28,5507,126714,45658,1,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=04b246b&sid=1106&ppid=535742&vpid=76833775&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=071bb1d&sid=459&ppid=535742&vpid=1805989&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08269d3&sid=2401&ppid=535742&vpid=37708775&ct=offers,Mouser,MCP1700T-3302E/TT,,0.28,0.28,28,45658,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08269d3&sid=2401&ppid=535742&vpid=37708775&ct=offers,
1,MPU-9250,InvenSense,MPU-9250,https://octopart.com/mpu-9250-invensense-33342822,IMU,QFN_3X3MM,,100,,1428-1019-1-ND,,,Cut Tape,,,5.9664,,,27749,,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a47df3&sid=459&ppid=33342822&vpid=104911995&ct=offers,,Digi-Key,1428-1019-1-ND,Cut Tape,5.9664,5.9664,596.64,27749,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a47df3&sid=459&ppid=33342822&vpid=104911995&ct=offers,
1,MS561101BA03-50,TE Connectivity,MS561101BA03-50,https://octopart.com/ms561101ba03-50-te+connectivity-59208926,BARO,MS5611-01BA03,,100,MS561101BA03-50**MULT1,223-1622-1-ND,MS561101BA03-50,Cut Tape,Cut Tape,,6.97,7.8942,7.9,2373,2064,2171,1,1,,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fms561101ba03-50%2Fte-connectivity&country=US&ak=68b25f31&sig=0344003&sid=1106&ppid=59208926&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0071601&sid=459&ppid=59208926&vpid=211019101&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0c41300&sid=2401&ppid=59208926&vpid=217673887&ct=offers,Arrow,MS561101BA03-50**MULT1,Cut Tape,6.97,6.97,697,2373,1,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fms561101ba03-50%2Fte-connectivity&country=US&ak=68b25f31&sig=0344003&sid=1106&ppid=59208926&ct=offers,
1,ZX62-B-5PA(33),Hirose,ZX62-B-5PA(33),https://octopart.com/zx62-b-5pa%2833%29-hirose-71507690,USB,USB_MICROB_PACKAGE,This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.,100,ZX62-B-5PA(33)**MULT1,H125270CT-ND,ZX62-B-5PA(33),Cut Tape,Cut Tape,,0.5649,0.6072,0.504,497,52224,56526,1,1,,https://octopart.com/click/track?url=https%3A%2F%2Fwww.arrow.com%2Fen%2Fproducts%2Fzx62-b-5pa-33%2Fhirose-electric&country=US&ak=68b25f31&sig=02058f5&sid=1106&ppid=71507690&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=04b112e&sid=459&ppid=71507690&vpid=257238747&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03f219b&sid=2401&ppid=71507690&vpid=262231623&ct=offers,Mouser,ZX62-B-5PA(33),,0.504,0.504,50.4,56526,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03f219b&sid=2401&ppid=71507690&vpid=262231623&ct=offers,
1,RC0201FR-07100KL,Yageo,RC0201FR-07100KL,https://octopart.com/rc0201fr-07100kl-yageo-42471081,R10,201,,100,RC0201FR-07100KL**MULT1,311-100KMCT-ND,RC0201FR-07100KL,Cut Tape,Cut Tape,,0.0121,0.0232,0.013,8874,1531144,496875,1,1,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0418fa4&sid=1106&ppid=42471081&vpid=313406169&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00e3193&sid=459&ppid=42471081&vpid=115225671&ct=offers,https://octopart.com/click/track?url=https%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DH0f9D%25252bN4ztJ6ZeeQPytEvw%253d%253d%26utm_source%3Doctopart%26utm_medium%3Daggregator%26utm_campaign%3DRC0201FR-07100KL%26utm_term%3DRC0201FR-07100KL%26utm_content%3DYageo&country=US&ak=68b25f31&sig=0f445d2&sid=2401&ppid=42471081&ct=offers,Arrow,RC0201FR-07100KL**MULT1,Cut Tape,0.0121,0.0121,1.21,8874,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0418fa4&sid=1106&ppid=42471081&vpid=313406169&ct=offers,
